vote_id,mep_id,position
MTG-PL-2026-06-16-OJ-ITM-V-61,127766,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,256884,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,204418,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,257438,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,96933,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,202036,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,257102,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,256875,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,204332,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,22418,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,37324,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,23781,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,257031,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,96709,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,124828,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,256807,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,257095,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,257001,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,197782,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,197435,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,197498,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,257163,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,197711,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,257149,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,22858,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,256936,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,256999,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,257119,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,96932,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,277057,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,257057,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,28400,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,257082,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,106936,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,197621,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,124802,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,197572,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,197395,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,256841,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,124785,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,96653,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,183916,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,197652,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,257030,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,256811,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,257016,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,201945,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,125204,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,257094,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,4267,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,257300,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,213330,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,256896,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,197781,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,28122,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,256973,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,256943,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,256880,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,257037,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,257114,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,257021,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,197500,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,257007,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,256964,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,119435,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,256859,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,257169,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,256887,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,257056,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,197772,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,257081,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,197426,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,257139,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,272024,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,257077,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,256840,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,96812,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,197687,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,251324,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,39725,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,197491,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,197417,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,257145,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,256861,FOR
