vote_id,mep_id,position
MTG-PL-2026-06-17-OJ-ITM-V-38,197493,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257296,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257027,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257131,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,198073,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197842,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197433,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,123562,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,124836,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256823,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,28307,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257044,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,28617,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256879,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257101,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,131580,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256928,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,24922,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,96752,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256870,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,124691,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197403,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197429,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,101039,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,124806,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197646,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,98219,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257014,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257297,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257132,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,28229,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,122978,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,101585,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197794,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,229839,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256810,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256840,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,202073,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,135511,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,106936,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,2152,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257237,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256896,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257045,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256950,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256980,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,188096,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,124766,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,237465,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257075,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257102,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,124884,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256871,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,28390,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197572,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197537,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,5729,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197621,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257015,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257080,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197839,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256920,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256946,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197677,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197781,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,200345,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,33998,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197421,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256976,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,190574,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,5392,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256811,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257128,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256993,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197694,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256806,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256841,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,239260,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197500,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257062,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257088,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256916,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,96932,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,4267,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197800,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257145,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197398,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257002,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257093,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,91636,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,201945,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197447,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,124784,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,96653,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257032,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257058,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256989,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197782,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197769,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257150,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197464,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,124867,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256884,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,220840,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,28400,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256903,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256994,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197494,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,214839,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256807,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257028,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257063,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257089,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,220896,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,125012,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256959,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,96933,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197525,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,88882,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,125068,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,218347,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256824,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257003,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,28399,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,124785,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,210480,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257033,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257059,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,244571,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,204129,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256929,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256964,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,96711,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,188945,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,111412,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197556,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257116,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197404,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,124807,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197682,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,86793,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256885,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,1917,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256855,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257050,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,261038,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256904,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,249982,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257133,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256934,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197795,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,251324,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,96833,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197435,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257163,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197652,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,4395,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,38542,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257020,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257046,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,96675,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256951,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256981,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,204418,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197770,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257076,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,23868,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257103,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197573,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256872,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,28122,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,260724,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,107212,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197405,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197648,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,124808,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,261796,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257016,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257051,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257081,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256921,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256947,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,183916,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256977,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,97399,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197543,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257260,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197845,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197501,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197702,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256898,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257021,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,86057,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257047,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256952,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257077,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257104,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,840,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,220871,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257094,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197623,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197649,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197448,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257082,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256922,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256948,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,124799,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197679,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,96668,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,130881,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197514,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,39725,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197591,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,260035,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257151,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,37324,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256813,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257261,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,125325,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,267485,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,197670,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256995,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,23781,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,257256,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256869,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256899,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256843,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,256808,FOR
MTG-PL-2026-06-17-OJ-ITM-V-38,124713,FOR
