vote_id,mep_id,position
MTG-PL-2026-06-16-OJ-ITM-V-60,23868,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,28390,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,197786,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,197818,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,34232,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,256871,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,257300,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,197497,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,88552,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,257119,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,256834,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,124973,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,197408,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,86057,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,96697,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,257299,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,124736,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,257039,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,257047,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,257024,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,257088,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,257061,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,197523,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,125670,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,197794,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,124713,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,256846,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,256952,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,256898,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,25758,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,197579,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,257032,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,256919,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,256993,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,257018,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,257437,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,257096,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,96653,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,261038,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,204336,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,28617,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,197670,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,28223,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,197780,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,96934,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,37324,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,256987,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,96998,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,124877,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,111412,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,197462,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,257169,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,257113,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,197491,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,86793,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,257128,FOR
MTG-PL-2026-06-16-OJ-ITM-V-60,197417,FOR
