date, procedure-id, title
20260616,2025-2097,"Request for the waiver of the immunity of Daniel Attard"
20260616,2024-0577,"Measures necessary for the implementation of the Protocol, annexed to the Treaty establishing the European Community, on the financial consequences of the expiry of the ECSC Treaty and on the Research Fund for Coal and Steel"
20260616,2026-0050,"Mobilisation of the European Globalisation Adjustment Fund for Displaced Workers following an application from Belgium – EGF/2025/009 BE/Soliver"
20260617,2023-0226, "Plants obtained by certain new genomic techniques and their food and feed" 
20260617,2025-0259, "Termination of the EU–Liberia Voluntary Partnership Agreement on forest law enforcement, governance and trade in timber products"
20260617,2025-0580,"Structure and rates of excise duty applied to tobacco and tobacco related products (recast)"
20260617,2025-0581,"General arrangements for excise duty applied to tobacco and tobacco related products"

