procedure_id,title,for,against,abstain,pct_for,actual_for,actual_against,actual_abstain,actual_category,predicted_category,category_match,accuracy
2023-0226,Plants obtained by certain new genomic techniques and their food and feed,342,376,0,47.6,,,,,,,
2024-0577,"Measures necessary for the implementation of the Protocol, annexed to the Treaty establishing the European Community, on the financial consequences of the expiry of the ECSC Treaty and on the Research Fund for Coal and Steel",665,53,0,92.6,563,44,56,For,For,True,81.1
2025-0259,"Termination of the EU–Liberia Voluntary Partnership Agreement on forest law enforcement, governance and trade in timber products",460,258,0,64.1,608,38,15,For,For,True,59.8
2025-0580,Structure and rates of excise duty applied to tobacco and tobacco related products (recast),417,301,0,58.1,289,316,51,Against,For,False,26.7
2025-0581,General arrangements for excise duty applied to tobacco and tobacco related products,447,271,0,62.3,325,304,29,For,For,True,30.7
2025-2097,Request for the waiver of the immunity of Daniel Attard,333,385,0,46.4,602,47,11,For,Against,False,46.1
2026-0050,Mobilisation of the European Globalisation Adjustment Fund for Displaced Workers following an application from Belgium – EGF/2025/009 BE/Soliver,669,49,0,93.2,,,,,,,
