vote_id,mep_id,position
MTG-PL-2026-06-17-OJ-ITM-V-58,204400,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,256855,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,257033,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,257097,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,257149,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,256872,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,256962,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,257256,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,256996,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,257007,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,124785,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,124884,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,256968,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,197607,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,197469,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,86057,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,261796,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,28122,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,257041,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,257024,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,197652,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,256925,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,197841,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,197426,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,197624,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,256893,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,219652,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,272024,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,220896,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,96791,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,257045,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,28390,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,23816,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,257144,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,256946,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,257457,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,256820,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,197628,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,257062,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,256974,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,113523,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,197690,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,257032,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,257096,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,256884,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,197649,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,72779,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,124973,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,197825,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,125052,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,4746,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,257118,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,197492,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,125106,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,256875,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,197842,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,197516,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,257081,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,197829,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,256847,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,257109,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,256922,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,256986,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,197621,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,197784,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,125204,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,257027,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,276060,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,88552,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,197820,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,197429,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,256896,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,198176,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,256973,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,257048,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,197738,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,185771,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,257147,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,197410,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,107212,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,197552,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,277178,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,197648,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,257093,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,256859,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,257005,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,257104,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,198373,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,257065,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,256977,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,197528,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,260724,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,270261,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,251324,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,124807,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,262021,FOR
MTG-PL-2026-06-17-OJ-ITM-V-58,96933,FOR
