vote_id,mep_id,position
MTG-PL-2026-06-17-OJ-ITM-V-57,204129,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,257050,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,251874,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,198373,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,257131,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,260695,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,257095,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,197679,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,97968,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,197636,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,197839,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,197652,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,28617,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,257100,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,257096,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,101039,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,96810,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,257099,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,257089,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,256860,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,257022,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,125012,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,1917,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,124866,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,197831,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,257163,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,219652,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,96808,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,96780,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,277777,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,257068,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,197621,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,256998,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,28390,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,197722,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,257086,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,256973,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,197552,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,257005,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,257055,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,257150,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,256977,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,204346,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,197784,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,257056,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,197425,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,257151,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,257073,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,39725,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,28122,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,256820,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,124973,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,30123,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,197426,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,96830,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,256954,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,257069,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,124713,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,125027,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,204414,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,257118,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,197545,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,256881,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,197841,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,124893,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,197492,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,257119,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,257070,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,130881,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,257043,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,256884,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,256852,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,257046,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,257048,FOR
MTG-PL-2026-06-17-OJ-ITM-V-57,256845,FOR
